timestamp,predicted
2019-09-09 00:00:00,241.03649328726567
2019-09-09 01:00:00,229.53267886193166
2019-09-09 02:00:00,233.53700729063365
2019-09-09 03:00:00,241.8724786105379
2019-09-09 04:00:00,244.09663245713904
2019-09-09 05:00:00,254.52236150297517
2019-09-09 06:00:00,364.79785106470473
2019-09-09 07:00:00,495.37046510132024
2019-09-09 08:00:00,619.8690368685166
2019-09-09 09:00:00,687.0512219593134
2019-09-09 10:00:00,696.3634012151109
2019-09-09 11:00:00,711.9627938377031
2019-09-09 12:00:00,642.9247150227452
2019-09-09 13:00:00,651.134084906787
2019-09-09 14:00:00,656.8506289377164
2019-09-09 15:00:00,626.0111609720021
2019-09-09 16:00:00,595.1550348880253
2019-09-09 17:00:00,557.2694423545838
2019-09-09 18:00:00,545.8284046555355
2019-09-09 19:00:00,537.8688596992756
2019-09-09 20:00:00,553.9951816644191
2019-09-09 21:00:00,583.2024702842629
2019-09-09 22:00:00,575.4390004471396
2019-09-09 23:00:00,528.0670657142712
2019-09-10 00:00:00,395.6213662739046
2019-09-10 01:00:00,344.52558523118046
2019-09-10 02:00:00,319.07541534823724
2019-09-10 03:00:00,308.0841347340281
2019-09-10 04:00:00,298.0929769341184
2019-09-10 05:00:00,287.69750516249076
2019-09-10 06:00:00,334.843834402439
2019-09-10 07:00:00,486.6133078697345
2019-09-10 08:00:00,633.3118625668048
2019-09-10 09:00:00,700.1734538419306
2019-09-10 10:00:00,722.2330085328557
2019-09-10 11:00:00,720.0163274675833
2019-09-10 12:00:00,673.3269048192091
2019-09-10 13:00:00,724.3965272975105
2019-09-10 14:00:00,691.1077854541215
2019-09-10 15:00:00,667.6511125608685
2019-09-10 16:00:00,638.3820543399335
2019-09-10 17:00:00,578.7652644578972
2019-09-10 18:00:00,576.1292479198678
2019-09-10 19:00:00,575.2046594096217
2019-09-10 20:00:00,604.8333168130692
2019-09-10 21:00:00,601.2151707059228
2019-09-10 22:00:00,609.0338709916684
2019-09-10 23:00:00,550.3196523704055
2019-09-11 00:00:00,389.1540396724925
2019-09-11 01:00:00,333.98712637863883
2019-09-11 02:00:00,296.4399345765172
2019-09-11 03:00:00,283.94577585149824
2019-09-11 04:00:00,275.5618656959799
2019-09-11 05:00:00,272.2450390853481
2019-09-11 06:00:00,327.0098681114444
2019-09-11 07:00:00,484.12359920454014
2019-09-11 08:00:00,641.8511781186635
2019-09-11 09:00:00,700.2411766988072
2019-09-11 10:00:00,682.6468674451412
2019-09-11 11:00:00,673.8672764915202
2019-09-11 12:00:00,652.932777118954
2019-09-11 13:00:00,683.092832402058
2019-09-11 14:00:00,678.9669587105656
2019-09-11 15:00:00,671.6036541367841
2019-09-11 16:00:00,628.3577570770732
2019-09-11 17:00:00,570.3707924674072
2019-09-11 18:00:00,558.2979684726374
2019-09-11 19:00:00,560.7802043927995
2019-09-11 20:00:00,578.1380122812178
2019-09-11 21:00:00,611.6224185841935
2019-09-11 22:00:00,598.4114915099237
2019-09-11 23:00:00,536.5688275859588
2019-09-12 00:00:00,387.70483126210655
2019-09-12 01:00:00,329.3569413942083
2019-09-12 02:00:00,300.2189974611909
2019-09-12 03:00:00,289.546921345808
2019-09-12 04:00:00,283.43474729512246
2019-09-12 05:00:00,279.67202972349594
2019-09-12 06:00:00,334.6448495341831
2019-09-12 07:00:00,468.92880528072743
2019-09-12 08:00:00,660.6133953173833
2019-09-12 09:00:00,715.9534024096484
2019-09-12 10:00:00,724.9761794940144
2019-09-12 11:00:00,726.7905752811093
2019-09-12 12:00:00,692.4455776692655
2019-09-12 13:00:00,702.8879372152602
2019-09-12 14:00:00,669.9971469777383
2019-09-12 15:00:00,657.5747551649446
2019-09-12 16:00:00,632.2937889327052
2019-09-12 17:00:00,599.26754964564
2019-09-12 18:00:00,555.4216553469521
2019-09-12 19:00:00,596.5953719152528
2019-09-12 20:00:00,591.9194150217364
2019-09-12 21:00:00,611.6453583500538
2019-09-12 22:00:00,600.5054148090743
2019-09-12 23:00:00,583.2371179357615
2019-09-13 00:00:00,412.98729587720146
2019-09-13 01:00:00,370.7391071433672
2019-09-13 02:00:00,343.33277734105167
2019-09-13 03:00:00,313.0846705328017
2019-09-13 04:00:00,291.9909161429284
2019-09-13 05:00:00,281.79265685271275
2019-09-13 06:00:00,335.3720545987562
2019-09-13 07:00:00,480.3507015276637
2019-09-13 08:00:00,640.4517287280894
2019-09-13 09:00:00,679.2621251728597
2019-09-13 10:00:00,701.1886102840872
2019-09-13 11:00:00,679.4643829566917
2019-09-13 12:00:00,634.8236358739512
2019-09-13 13:00:00,674.4767836844567
2019-09-13 14:00:00,678.1924021496772
2019-09-13 15:00:00,663.8666190353483
2019-09-13 16:00:00,645.8685087084147
2019-09-13 17:00:00,574.7233345486673
2019-09-13 18:00:00,534.8154709012017
2019-09-13 19:00:00,550.621900729128
2019-09-13 20:00:00,532.0790402501589
2019-09-13 21:00:00,523.0764457285669
2019-09-13 22:00:00,517.2324301417228
2019-09-13 23:00:00,464.0442781045128
2019-09-14 00:00:00,336.50353264687067
2019-09-14 01:00:00,312.5735702866298
2019-09-14 02:00:00,293.0714299646442
2019-09-14 03:00:00,284.52908363814504
2019-09-14 04:00:00,274.02214019436275
2019-09-14 05:00:00,257.42276352680983
2019-09-14 06:00:00,253.9998759346437
2019-09-14 07:00:00,265.3643352935822
2019-09-14 08:00:00,313.3858800084153
2019-09-14 09:00:00,361.9195917142273
2019-09-14 10:00:00,369.72488266952473
2019-09-14 11:00:00,350.9579062216434
2019-09-14 12:00:00,326.34454836864626
